SpotID,SpotType,Occupancy,LicensePlate,EntryTime
0-C-1,CAR,True,MH12SV0807,2026-02-05 15:30:22
0-C-2,CAR,False,None,None
0-C-3,CAR,False,None,None
0-C-4,CAR,False,None,None
0-C-5,CAR,False,None,None
0-C-6,CAR,False,None,None
0-C-7,CAR,False,None,None
0-C-8,CAR,False,None,None
0-C-9,CAR,False,None,None
0-C-10,CAR,False,None,None
0-C-11,CAR,False,None,None
0-C-12,CAR,False,None,None
0-C-13,CAR,False,None,None
0-C-14,CAR,False,None,None
0-C-15,CAR,False,None,None
0-C-16,CAR,False,None,None
0-C-17,CAR,False,None,None
0-C-18,CAR,False,None,None
0-C-19,CAR,False,None,None
0-C-20,CAR,False,None,None
0-S-1,SCOOTER,False,None,None
0-S-2,SCOOTER,False,None,None
0-S-3,SCOOTER,False,None,None
0-S-4,SCOOTER,False,None,None
0-S-5,SCOOTER,False,None,None
0-S-6,SCOOTER,False,None,None
0-S-7,SCOOTER,False,None,None
0-S-8,SCOOTER,False,None,None
0-S-9,SCOOTER,False,None,None
0-S-10,SCOOTER,False,None,None
0-S-11,SCOOTER,False,None,None
0-S-12,SCOOTER,False,None,None
0-S-13,SCOOTER,False,None,None
0-S-14,SCOOTER,False,None,None
0-S-15,SCOOTER,False,None,None
0-S-16,SCOOTER,False,None,None
0-S-17,SCOOTER,False,None,None
0-S-18,SCOOTER,False,None,None
0-S-19,SCOOTER,False,None,None
0-S-20,SCOOTER,False,None,None
0-T-1,TRUCK,False,None,None
0-T-2,TRUCK,False,None,None
0-T-3,TRUCK,False,None,None
0-T-4,TRUCK,False,None,None
0-T-5,TRUCK,False,None,None
0-T-6,TRUCK,False,None,None
0-T-7,TRUCK,False,None,None
0-T-8,TRUCK,False,None,None
0-T-9,TRUCK,False,None,None
0-T-10,TRUCK,False,None,None
