SpotID,SpotType,Occupancy,LicensePlate,EntryTime
C-1,CAR,True,MH12SV0807,2026-01-25 01:07:22
C-2,CAR,False,None,None
C-3,CAR,False,None,None
C-4,CAR,False,None,None
C-5,CAR,False,None,None
C-6,CAR,False,None,None
C-7,CAR,False,None,None
C-8,CAR,False,None,None
C-9,CAR,False,None,None
C-10,CAR,False,None,None
C-11,CAR,False,None,None
C-12,CAR,False,None,None
C-13,CAR,False,None,None
C-14,CAR,False,None,None
C-15,CAR,False,None,None
C-16,CAR,False,None,None
C-17,CAR,False,None,None
C-18,CAR,False,None,None
C-19,CAR,False,None,None
C-20,CAR,False,None,None
S-1,SCOOTER,True,MH13PQ7885,2026-01-25 01:33:54
S-2,SCOOTER,False,None,None
S-3,SCOOTER,False,None,None
S-4,SCOOTER,False,None,None
S-5,SCOOTER,False,None,None
S-6,SCOOTER,False,None,None
S-7,SCOOTER,False,None,None
S-8,SCOOTER,False,None,None
S-9,SCOOTER,False,None,None
S-10,SCOOTER,False,None,None
S-11,SCOOTER,False,None,None
S-12,SCOOTER,False,None,None
S-13,SCOOTER,False,None,None
S-14,SCOOTER,False,None,None
S-15,SCOOTER,False,None,None
S-16,SCOOTER,False,None,None
S-17,SCOOTER,False,None,None
S-18,SCOOTER,False,None,None
S-19,SCOOTER,False,None,None
S-20,SCOOTER,False,None,None
T-1,TRUCK,False,None,None
T-2,TRUCK,False,None,None
T-3,TRUCK,False,None,None
T-4,TRUCK,False,None,None
T-5,TRUCK,False,None,None
T-6,TRUCK,False,None,None
T-7,TRUCK,False,None,None
T-8,TRUCK,False,None,None
T-9,TRUCK,False,None,None
T-10,TRUCK,False,None,None
